user,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
TSolutions3A,0.03192913588373901,0.0,0.05726112373487156,0.027085714998688983,0.014172322555031105,0.0
typor,0.016900119178677703,0.0,0.0019519863437637928,0.06065666459209458,0.0,0.0
MeIzSaiPranav,0.0017265837331122249,0.0,0.010855283647900737,0.035178690756737005,0.0,0.0
Pierrot-l3-F0U,0.018998051944064797,0.0009741501691784051,0.0,0.012720903038477538,0.0,0.0
sumeet85,0.03520440685669044,0.0,0.0,0.036000762173144865,0.0,0.0
satsvelke,0.002742464036595948,0.003938720849703603,0.018955595501633463,0.04585238401289232,0.0,0.0
tbmeans,0.00920727362686441,0.004360363195429267,0.0037387076279463707,0.028649868333370725,0.010488542940729777,0.0
vishakh-abhayan,0.031690011625678735,0.0,0.009619010094239724,0.04413751377330527,0.025031363196446114,0.0
belajarqywok,0.0036752353115074073,0.0013167516128001254,0.0,0.09734468772558107,0.0,0.0
LewdPain,0.004143320287724798,0.0,0.0,0.022858635110980855,0.0,0.0
deborabastos,0.004920618037219168,0.003053657003454036,0.0,0.05026430669611987,0.0009868393607467968,0.00019090333708349114
MecaFlavio,0.0,0.07365488547906705,0.008870601776153744,0.00024408916488454142,0.04110617913037063,0.05247583406484784
lazarm520,0.008826026114450497,0.0,0.00564164110372887,0.04840113130611797,0.01676135419208256,0.001298776204382273
gavanwp,0.0,0.0,0.04385240415222081,0.027812054327035138,0.023748021378907407,0.002721635827997814
Bukunmi-sketch,0.060719212980482565,0.0,0.0,0.0108239140976161,0.024431491945693697,0.0
mlpao500,0.0064393700287263865,0.0,0.0036043941841344134,0.02588690116909611,0.0,0.0
